Origin_Airport_Code,Destination_Airport_Code,Estimated_Duration_Hours,Estimated_Duration_Minutes
LHR,DUB,1,21
AGP,FCO,4,46
PMI,MAN,1,0
PRG,ARN,4,5
ARN,LIS,1,39
AMS,WAW,3,50
AGP,ZRH,2,16
FCO,ARN,2,35
LGW,MAD,2,5
BUD,DUB,3,46
WAW,IST,1,24
LIS,CPH,4,6
PMI,VIE,4,10
VIE,PMI,1,38
BCN,HEL,3,7
PRG,LIS,2,14
LIS,PMI,4,24
LGW,VIE,1,0
ATH,LIS,4,29
MXP,GVA,1,42
GVA,ALC,2,18
PMI,FCO,1,28
WAW,GVA,1,25
LHR,BRU,3,16
PRG,CDG,1,50
MAD,OSL,3,3
WAW,MXP,1,22
MAD,ALC,1,11
WAW,MXP,4,10
CPH,LIS,1,47
ZRH,FRA,2,6
BRU,PRG,2,20
CPH,MUC,4,21
LGW,BRU,1,3
ATH,LIS,3,45
ARN,DUB,1,19
DUS,VIE,1,58
FCO,LIS,2,57
WAW,CDG,4,18
CPH,MUC,2,50
WAW,FRA,3,54
BUD,LHR,2,58
BRU,AMS,2,14
BUD,LIS,2,20
HEL,BRU,3,3
CDG,MAD,3,20
BCN,IST,2,59
IST,AGP,3,48
CPH,MXP,3,53
GVA,ZRH,1,53
CPH,BRU,3,16
BRU,ATH,2,25
CPH,GVA,4,35
OSL,DUS,1,29
HEL,ZRH,2,15
ALC,FRA,4,41
LHR,MXP,4,8
ZRH,AGP,3,5
PRG,CDG,1,48
PMI,ATH,1,59
DUS,ATH,3,38
BUD,OSL,4,57
DUS,BRU,1,55
LHR,ZRH,4,24
CDG,PMI,3,10
MXP,LHR,2,7
OSL,PMI,2,42
DUB,LIS,1,30
BRU,DUS,2,45
LHR,LIS,4,8
FRA,MAN,1,37
LGW,ZRH,1,52
PRG,MAN,4,25
GVA,DUS,4,53
IST,WAW,2,40
LGW,GVA,2,53
WAW,FRA,3,19
PMI,MXP,3,39
AGP,MAD,4,40
FRA,FCO,1,25
VIE,MXP,3,39
LGW,LHR,3,52
BRU,LHR,2,34
MXP,PRG,1,24
ATH,LIS,1,49
FRA,LGW,1,2
MAD,LHR,4,52
HEL,GVA,1,14
ALC,WAW,1,56
LIS,PMI,1,54
VIE,AGP,3,42
MUC,ZRH,2,3
BCN,ALC,2,12
BUD,LGW,3,9
BCN,ALC,4,32
AGP,MAD,3,41
IST,ALC,1,54
FCO,CPH,3,53
LHR,CPH,1,13
BCN,MXP,3,16
OSL,BRU,1,47
OSL,ARN,2,46
CDG,WAW,3,25
PRG,FRA,3,59
FCO,VIE,1,28
BRU,HEL,4,8
ARN,MAN,1,25
BCN,FRA,2,59
IST,FCO,4,30
AGP,AMS,2,54
BUD,PRG,1,36
WAW,BUD,2,35
CPH,IST,4,9
ALC,DUS,5,8
LIS,ZRH,2,43
MAN,LHR,1,23
FRA,ALC,3,26
IST,BCN,2,1
BCN,ARN,1,44
MAD,CDG,4,26
ARN,MAN,4,58
DUB,LGW,4,13
PMI,WAW,4,52
ZRH,CPH,2,58
FCO,AGP,2,51
WAW,ALC,3,47
CDG,LIS,2,12
LGW,GVA,3,35
MUC,WAW,4,29
MAD,DUS,2,58
VIE,ZRH,4,52
MAN,DUB,3,19
AGP,DUS,1,9
BRU,PMI,1,0
FRA,WAW,2,58
FRA,LIS,4,7
GVA,LIS,4,39
LGW,PRG,1,52
LGW,AMS,2,22
BRU,FRA,4,51
PRG,LIS,1,0
MXP,VIE,1,14
CPH,ZRH,2,23
GVA,ATH,2,29
FCO,CPH,2,41
OSL,AMS,3,1
LGW,OSL,5,9
AMS,VIE,4,34
PRG,MUC,4,34
LHR,CPH,4,13
VIE,FCO,3,19
GVA,MUC,1,23
MXP,CPH,1,29
BUD,GVA,4,2
ALC,ARN,2,40
BCN,FCO,5,7
ALC,CPH,1,29
AGP,BUD,1,22
FCO,CPH,3,3
ZRH,FRA,1,35
PRG,ZRH,4,23
ZRH,MXP,4,41
CPH,AMS,2,47
GVA,PRG,4,7
FCO,WAW,2,40
PRG,VIE,2,17
BCN,MAD,3,6
ARN,CPH,1,44
LHR,AMS,4,5
AMS,PRG,2,44
GVA,ATH,1,47
PRG,AMS,1,32
BCN,VIE,4,58
AGP,MAN,3,44
VIE,CDG,1,28
DUB,FCO,4,16
LGW,ARN,1,14
FCO,OSL,5,11
FRA,MAD,2,49
MAD,BCN,3,43
PRG,VIE,3,25
ZRH,PRG,1,0
ALC,FRA,4,44
CPH,HEL,3,27
FRA,PMI,3,12
BRU,MAN,2,30
AMS,LHR,4,31
WAW,ATH,4,15
LIS,CDG,3,6
PRG,FCO,1,0
CPH,CDG,3,1
DUB,MXP,3,41
CDG,ARN,1,58
VIE,CDG,1,13
WAW,LIS,2,46
BRU,OSL,1,26
AMS,AGP,1,50
LHR,MAN,2,17
LHR,CPH,1,11
PRG,OSL,1,31
LGW,FCO,4,24
PRG,MXP,1,30
ALC,ZRH,1,36
ALC,CPH,4,30
OSL,MXP,3,52
PRG,DUS,3,3
IST,ARN,3,53
CDG,MAD,3,20
HEL,BCN,2,47
OSL,FRA,4,15
MAN,AMS,4,31
MUC,CDG,2,9
HEL,ATH,4,16
MAD,LGW,3,13
ATH,MXP,2,36
ZRH,CPH,2,31
LHR,PRG,3,37
ARN,VIE,2,49
FCO,CPH,4,23
CDG,FRA,4,19
CPH,WAW,2,51
MXP,BRU,3,59
IST,CPH,1,36
PMI,BUD,3,37
AMS,ATH,1,53
ZRH,FRA,2,11
MXP,GVA,2,15
LHR,FCO,2,32
LGW,FCO,5,10
BRU,MXP,5,8
MUC,MAD,3,21
BCN,VIE,2,42
BUD,HEL,2,6
WAW,CDG,4,14
FRA,AGP,4,8
VIE,PRG,1,13
CDG,HEL,1,27
AGP,PMI,4,5
PRG,HEL,1,7
CPH,BCN,2,3
LHR,PRG,1,20
LGW,IST,1,10
PRG,ATH,2,9
FRA,ZRH,1,52
PRG,MUC,2,18
CPH,MAD,4,24
PMI,FRA,1,22
LHR,FRA,3,37
LIS,FCO,1,22
WAW,MUC,1,0
MUC,MAD,1,49
ARN,PRG,1,12
LGW,MXP,3,12
FRA,MXP,1,18
MUC,HEL,2,13
BUD,AMS,4,34
LHR,BCN,4,41
AGP,MAN,4,17
VIE,ARN,4,10
AGP,FRA,4,59
LIS,VIE,1,43
ARN,MXP,2,2
MAN,IST,1,1
IST,HEL,1,58
IST,LGW,2,2
GVA,ARN,2,26
IST,LGW,2,10
BUD,MAD,1,47
ALC,BCN,3,12
CPH,HEL,3,44
IST,BRU,4,1
AGP,ATH,4,43
HEL,FCO,3,35
BUD,MXP,1,23
DUB,IST,1,34
BUD,AGP,3,4
GVA,IST,3,40
ARN,BUD,1,26
DUB,MAD,2,12
CPH,VIE,1,45
ARN,GVA,4,49
CDG,CPH,4,19
ARN,IST,4,15
LGW,DUB,1,34
LGW,DUS,4,12
FRA,LIS,3,50
ALC,OSL,2,32
BUD,AGP,3,11
PRG,AMS,2,44
DUS,AGP,4,42
BRU,MXP,2,23
GVA,PRG,5,9
BCN,MXP,3,18
ZRH,GVA,3,8
DUS,LHR,1,17
LGW,VIE,1,41
AMS,ATH,2,10
OSL,ATH,4,18
FRA,PMI,1,3
DUB,MAN,2,41
DUS,BCN,3,28
IST,BCN,1,17
PRG,WAW,2,38
HEL,PRG,3,25
ZRH,GVA,2,9
MAN,AGP,3,41
MUC,DUB,4,28
ZRH,LIS,1,32
LGW,CDG,3,25
GVA,VIE,2,53
ALC,OSL,3,45
FRA,AGP,2,31
OSL,BCN,1,58
LHR,IST,3,31
FCO,MAN,1,46
DUB,PRG,1,31
BUD,ARN,4,25
ZRH,LGW,4,2
ATH,AMS,2,32
DUS,WAW,2,48
FCO,CDG,1,12
ARN,HEL,2,30
BCN,AGP,3,13
PMI,HEL,2,42
FRA,LHR,4,7
MAN,DUS,2,5
ATH,GVA,4,15
BCN,ALC,2,24
MAD,BUD,3,4
BRU,ARN,3,12
FRA,LGW,3,50
AMS,MAD,1,50
DUS,BRU,2,20
FCO,ATH,4,5
LHR,VIE,5,3
FCO,HEL,4,43
GVA,BUD,3,3
LIS,LHR,1,0
FCO,HEL,3,29
OSL,WAW,4,40
PMI,LGW,4,5
AGP,BUD,3,23
WAW,GVA,1,19
MAN,LHR,3,7
ALC,LHR,2,52
ALC,HEL,1,56
WAW,VIE,1,2
MAD,ARN,1,22
MXP,LGW,4,29
GVA,ARN,1,46
MAD,LHR,1,14
ALC,BUD,4,13
ZRH,CPH,4,8
VIE,BRU,3,2
DUS,WAW,3,40
ALC,LGW,5,6
MAN,DUB,1,43
ARN,MAD,2,41
BCN,ZRH,2,58
CPH,PMI,4,18
MAN,MAD,4,51
PRG,DUB,4,23
HEL,FCO,1,44
CDG,HEL,5,4
ZRH,CPH,1,1
LIS,DUB,2,15
ARN,BCN,3,25
IST,AGP,2,45
VIE,MAN,4,33
GVA,ZRH,1,59
ZRH,VIE,1,23
AGP,PRG,1,46
FCO,ZRH,4,28
LHR,BRU,4,59
WAW,DUB,1,17
MAD,OSL,3,47
LIS,LHR,1,25
DUB,AGP,2,50
PRG,AGP,1,59
MUC,CDG,3,5
ZRH,LHR,4,25
PRG,FRA,4,41
DUS,FRA,3,35
MAN,CPH,3,56
BCN,GVA,1,8
ZRH,PRG,4,23
AGP,ZRH,2,55
MXP,ZRH,1,32
MUC,IST,4,11
CDG,LIS,4,3
BUD,VIE,3,57
PRG,LIS,1,11
AGP,AMS,1,20
MXP,PRG,4,11
WAW,AGP,2,51
IST,PRG,1,45
PRG,AMS,2,25
BUD,ARN,1,0
LHR,ALC,4,14
LIS,MAD,4,26
MUC,ZRH,2,57
OSL,MAN,4,41
WAW,MAD,4,32
ALC,PMI,4,1
BRU,IST,4,54
IST,BUD,4,18
VIE,DUB,3,11
ALC,WAW,3,32
DUB,AMS,3,7
ZRH,BRU,3,1
ALC,MAD,3,53
IST,PRG,3,25
OSL,ARN,3,2
LIS,DUS,1,16
ATH,MUC,2,44
BUD,LGW,1,57
AGP,MAD,1,39
ARN,CPH,1,1
WAW,BCN,3,59
BRU,AMS,4,17
LIS,LGW,3,39
DUB,MAN,1,59
ALC,OSL,4,36
OSL,BRU,3,51
LHR,WAW,3,8
MUC,ARN,1,15
VIE,BCN,4,7
ALC,MUC,2,58
MXP,MUC,4,50
ARN,IST,1,13
ATH,ZRH,2,11
MUC,MXP,4,0
DUB,ZRH,1,35
WAW,MAN,2,47
LGW,AGP,4,26
LGW,PRG,2,54
WAW,PMI,3,41
LGW,ARN,4,49
LGW,FCO,2,33
ZRH,PMI,2,30
LHR,DUS,1,46
MUC,FCO,5,11
PRG,HEL,2,47
HEL,MUC,4,14
AGP,MAD,4,10
ZRH,LIS,1,26
PMI,ARN,5,11
ALC,LGW,1,12
ATH,AGP,3,40
CPH,MUC,3,37
ATH,MXP,3,25
CDG,LIS,3,33
HEL,ARN,3,42
FRA,DUB,4,35
CDG,MXP,2,29
BUD,BCN,1,32
MUC,CDG,2,46
MAN,WAW,2,1
FRA,HEL,1,15
PRG,LHR,4,26
MUC,LGW,1,12
PRG,DUS,3,13
PMI,CDG,3,40
CPH,BUD,4,15
MXP,HEL,3,36
DUS,BUD,2,49
OSL,AGP,4,8
MUC,HEL,1,57
VIE,PRG,4,8
ARN,LHR,4,58
WAW,LHR,3,21
MXP,FCO,3,24
BCN,WAW,2,20
GVA,MAD,4,19
PRG,MAD,4,19
GVA,BRU,2,52
FRA,IST,1,10
AGP,CDG,4,55
CPH,OSL,4,26
GVA,PRG,1,14
LIS,MXP,4,15
PMI,LHR,2,30
VIE,MAD,3,54
MUC,IST,3,35
PMI,ALC,2,36
ATH,DUS,4,19
MAD,LGW,1,24
VIE,PRG,1,41
WAW,PRG,2,38
VIE,FRA,1,34
MXP,AGP,4,43
BCN,LHR,2,23
CPH,ARN,3,23
PMI,MUC,3,43
BCN,FCO,4,3
AMS,MAN,3,27
BRU,BCN,2,13
ATH,ARN,4,37
PRG,OSL,2,59
LHR,PRG,1,58
IST,ZRH,2,58
WAW,OSL,4,39
AMS,LGW,2,11
MUC,LIS,4,11
DUB,BRU,1,27
AMS,ZRH,4,15
FRA,DUS,2,1
AGP,LIS,2,9
PRG,ALC,3,47
ARN,FCO,1,0
FRA,HEL,1,31
PMI,FCO,3,6
ALC,AMS,3,55
FRA,MAN,1,37
MAD,FRA,1,36
HEL,AMS,2,12
CDG,MAN,1,0
BUD,MUC,1,25
ATH,PMI,1,3
MAN,AMS,5,1
FCO,GVA,1,49
MAN,GVA,3,12
VIE,PRG,2,15
CPH,LIS,2,13
LGW,PRG,3,51
LGW,PRG,3,8
DUB,MXP,3,1
AMS,MUC,4,53
MXP,CDG,4,43
ATH,CPH,4,32
LIS,WAW,5,8
CDG,WAW,1,55
ALC,CPH,4,30
FRA,LHR,2,23
ATH,HEL,4,35
LGW,ALC,1,27
LIS,AMS,1,9
LIS,WAW,3,50
LGW,AMS,2,3
LGW,MXP,1,0
LGW,AMS,4,38
MUC,AMS,1,51
LGW,AMS,2,27
AMS,IST,2,6
FCO,CDG,4,35
MAN,ARN,2,40
FRA,GVA,3,43
FCO,LHR,3,45
ZRH,ATH,4,14
WAW,MAD,4,30
LHR,MAD,4,17
LGW,IST,3,21
CPH,ARN,3,10
HEL,CDG,2,0
CPH,CDG,4,29
PRG,ALC,4,11
VIE,BRU,1,13
MXP,MAD,3,38
MUC,GVA,1,28
FCO,OSL,4,26
IST,PMI,3,30
MAD,PRG,4,46
FCO,FRA,2,14
FRA,MXP,4,54
DUB,AMS,1,41
VIE,AMS,4,55
MAN,VIE,3,35
WAW,BUD,2,11
FCO,ATH,1,53
ARN,LHR,3,12
CDG,BRU,4,13
GVA,DUB,2,50
ZRH,ARN,3,26
MXP,VIE,3,28
AMS,ZRH,3,29
MAN,ZRH,3,26
BUD,FCO,3,47
MUC,LIS,2,49
FCO,ATH,3,54
BUD,DUB,1,36
WAW,CPH,2,18
ATH,MUC,4,23
MXP,FCO,1,53
MAN,HEL,1,46
MAN,MUC,4,35
IST,BUD,3,55
CDG,MAD,4,32
MAN,ATH,4,25
GVA,ZRH,1,34
PRG,ZRH,3,1
LHR,AMS,1,0
OSL,ARN,1,12
MAN,CPH,3,2
CDG,HEL,1,52
DUB,OSL,4,33
FCO,WAW,2,33
ALC,BCN,1,4
FCO,ZRH,2,6
MAD,ALC,2,37
PRG,AMS,2,38
FCO,AGP,4,11
DUB,LHR,3,35
ZRH,DUS,2,55
GVA,IST,2,55
CPH,DUS,4,25
ARN,HEL,2,38
OSL,LGW,3,3
BCN,OSL,2,44
CDG,PRG,1,45
FCO,PRG,1,36
IST,OSL,1,52
ARN,BCN,4,22
LIS,AGP,2,9
ARN,ZRH,2,26
PMI,DUS,2,26
AGP,HEL,1,43
CPH,DUS,4,59
FCO,AMS,2,20
DUS,ZRH,3,16
FCO,BRU,1,31
HEL,ARN,3,0
AMS,LIS,1,8
OSL,BRU,1,0
PRG,ATH,3,1
CDG,WAW,4,14
DUB,ZRH,3,17
BRU,MUC,3,24
CDG,LIS,2,17
MAN,ALC,3,48
DUS,VIE,1,50
AGP,OSL,3,8
BUD,HEL,1,57
OSL,PMI,1,36
BUD,BRU,2,37
OSL,CPH,1,56
DUS,CPH,1,41
WAW,AGP,1,34
HEL,GVA,2,38
ALC,ATH,1,27
FRA,GVA,1,12
FCO,PMI,1,20
DUB,WAW,2,42
AMS,MUC,4,19
ALC,PRG,2,25
DUB,AGP,3,56
LIS,DUS,3,40
BRU,LIS,4,35
LIS,MAD,1,28
BCN,OSL,4,29
ALC,DUB,3,18
IST,MUC,1,38
VIE,ALC,3,46
DUS,MAN,1,0
OSL,ZRH,1,8
LHR,AMS,2,33
AMS,ARN,4,55
DUB,MAN,3,40
AMS,MXP,1,0
IST,PMI,4,24
VIE,MAN,2,26
ARN,MUC,1,49
AGP,WAW,3,58
ALC,VIE,2,54
GVA,BRU,3,31
AMS,VIE,3,28
BRU,MAD,3,4
FCO,CDG,1,34
IST,ATH,4,10
DUB,HEL,1,19
ALC,LHR,4,31
LGW,AMS,1,40
IST,BCN,1,37
DUB,IST,4,19
PMI,LHR,1,35
MUC,HEL,1,20
DUB,AMS,1,11
FRA,BRU,4,4
CDG,AGP,4,17
VIE,WAW,2,41
AMS,VIE,1,2
CDG,MUC,4,1
ALC,MXP,2,2
HEL,GVA,2,54
DUS,WAW,1,46
LHR,CDG,1,41
ATH,HEL,1,5
LGW,OSL,4,14
CPH,LHR,1,27
WAW,OSL,4,16
OSL,MXP,2,33
BRU,LHR,2,30
MUC,FCO,2,13
FCO,PRG,2,19
PMI,HEL,3,56
BRU,ATH,2,46
ZRH,BRU,1,19
GVA,BCN,2,8
VIE,MUC,1,17
GVA,LGW,2,9
BRU,AGP,4,23
MXP,DUB,3,28
CDG,LGW,2,15
MAN,FRA,2,52
FRA,MAN,2,20
ZRH,DUB,3,20
FRA,BRU,1,23
AMS,BUD,5,5
VIE,ARN,1,31
PRG,HEL,2,52
LHR,IST,1,21
DUS,BRU,3,2
OSL,IST,3,30
BCN,CDG,2,22
CDG,WAW,3,38
AGP,LGW,3,34
DUS,GVA,3,23
LGW,ARN,2,47
BUD,CPH,1,54
CPH,PRG,4,38
MAN,ATH,2,59
DUS,ZRH,1,9
LHR,DUB,1,3
MAD,CDG,2,22
OSL,GVA,3,36
PRG,FRA,4,53
ARN,VIE,4,19
LHR,ALC,2,5
DUS,FCO,1,40
HEL,VIE,3,15
ALC,CPH,1,18
LIS,LHR,2,44
PRG,ALC,1,16
CPH,MAN,4,7
MAN,PMI,2,31
PRG,HEL,4,50
FRA,BUD,3,33
ARN,DUS,3,36
ZRH,BUD,3,49
MXP,ARN,2,24
LHR,BUD,3,37
AGP,MUC,1,32
FRA,AGP,2,59
CPH,MAN,4,0
MAD,CPH,4,32
LGW,ATH,2,15
MXP,MUC,2,2
ALC,BCN,3,9
FCO,FRA,1,9
CPH,VIE,3,15
PMI,BCN,1,37
MXP,MAN,1,0
DUB,ZRH,4,34
MAN,HEL,3,15
HEL,DUS,1,20
IST,PRG,2,43
HEL,DUB,1,55
HEL,FCO,4,26
MUC,HEL,1,0
OSL,MUC,3,57
WAW,ZRH,2,52
ARN,MXP,1,36
VIE,ALC,3,36
DUS,PRG,1,11
AGP,HEL,1,16
MXP,DUS,4,22
WAW,AMS,3,5
FRA,BRU,2,39
HEL,AMS,4,32
WAW,BRU,3,42
DUB,VIE,1,19
BRU,ALC,4,30
AMS,LIS,3,26
BUD,MUC,2,50
DUS,LHR,4,2
DUS,MAN,1,55
MAD,MAN,2,12
BCN,PRG,4,7
MAN,LGW,4,0
MAN,ATH,3,9
DUS,BRU,1,0
DUB,ZRH,3,38
BUD,ZRH,3,26
MUC,FRA,1,14
WAW,MXP,1,36
GVA,LGW,1,10
OSL,FRA,3,6
MUC,ZRH,5,11
VIE,OSL,2,48
BUD,LIS,2,13
IST,MAD,4,5
BRU,DUS,1,0
BRU,FCO,1,50
PRG,FRA,1,10
MAD,PMI,4,56
AMS,MAN,4,25
GVA,AMS,1,27
LIS,PRG,2,32
LIS,MAD,3,54
ARN,LGW,5,3
MXP,AMS,1,59
LGW,DUS,1,54
BUD,FRA,3,32
CPH,MAD,2,24
ATH,MAN,2,57
FCO,FRA,2,1
CPH,HEL,1,48
WAW,ZRH,2,28
ATH,CDG,4,20
OSL,DUB,2,15
CPH,LHR,2,33
MUC,PMI,3,19
HEL,GVA,1,43
BUD,BRU,1,46
CDG,HEL,4,17
PMI,AGP,3,51
ATH,ZRH,1,30
CPH,HEL,4,25
GVA,LHR,1,51
BCN,AMS,2,5
WAW,MAD,1,49
CPH,HEL,1,31
PRG,PMI,3,36
ZRH,AGP,3,37
CPH,ARN,3,36
BUD,OSL,2,42
DUB,FCO,2,56
OSL,VIE,1,11
WAW,BUD,3,48
AMS,PMI,3,50
FRA,PMI,4,1
PRG,IST,1,24
PMI,LGW,2,35
BUD,LGW,1,20
MXP,LHR,2,16
ATH,PMI,1,9
FCO,BCN,1,11
WAW,MUC,3,22
MAD,GVA,2,2
MAN,AGP,2,59
PRG,MAN,4,6
MAN,BCN,4,5
DUS,PRG,1,14
GVA,BUD,3,7
DUS,PMI,1,50
GVA,MXP,4,18
ARN,ZRH,1,11
IST,WAW,3,50
VIE,PMI,3,47
VIE,IST,2,49
CDG,LGW,4,24
MXP,PMI,1,22
LGW,ATH,1,49
MAD,LIS,4,26
BCN,MAD,2,20
HEL,ARN,1,32
GVA,WAW,4,41
MAD,IST,1,58
VIE,IST,1,33
ALC,FCO,4,44
AGP,FRA,2,57
ARN,BUD,3,59
MUC,HEL,1,16
MXP,MAD,3,56
HEL,PMI,1,0
AGP,PRG,3,38
FCO,HEL,4,41
MAN,AGP,1,59
IST,WAW,1,44
IST,LGW,4,9
OSL,CPH,3,57
ZRH,HEL,1,40
LGW,MUC,2,37
CPH,BUD,1,20
GVA,PRG,3,10
OSL,LIS,1,43
HEL,BUD,4,49
BCN,MAN,2,52
MXP,WAW,3,37
DUS,DUB,3,24
WAW,BRU,3,20
FCO,BRU,3,24
BCN,VIE,1,57
PMI,BRU,2,46
AMS,OSL,1,24
MUC,BUD,4,20
ALC,ARN,1,15
PRG,AMS,1,35
LGW,MAD,2,22
LGW,IST,3,23
BUD,FRA,1,48
VIE,DUS,2,53
PRG,MAD,1,21
GVA,MXP,1,16
ALC,WAW,2,40
OSL,VIE,1,33
BCN,ZRH,4,29
LHR,CDG,1,0
BRU,LHR,2,35
FCO,LHR,2,49
IST,VIE,2,14
CDG,HEL,4,41
ZRH,ALC,5,1
CPH,FRA,3,38
BCN,DUB,2,53
ARN,GVA,2,22
ARN,FCO,2,49
LHR,CDG,1,1
BUD,MAD,2,11
BRU,PRG,4,20
FCO,GVA,3,7
FRA,VIE,1,38
BCN,MAD,2,39
BUD,LHR,2,2
ZRH,CDG,1,28
LGW,BCN,1,21
ALC,ARN,2,39
BRU,GVA,1,59
MAN,PMI,3,3
FRA,ARN,2,32
MAN,ZRH,4,10
MUC,ALC,4,24
DUB,AMS,2,19
PRG,CDG,3,8
GVA,ATH,5,7
DUS,BRU,1,44
OSL,MAN,2,35
AGP,MXP,1,57
HEL,WAW,2,43
ALC,GVA,1,39
GVA,DUB,4,6
GVA,VIE,1,49
HEL,FRA,4,1
CPH,AMS,2,35
ALC,DUB,5,10
HEL,CPH,4,54
HEL,CDG,1,25
LGW,LHR,1,29
AGP,FCO,4,35
VIE,MAD,5,8
DUS,ALC,4,8
ALC,LHR,1,52
PRG,BRU,3,53
PRG,DUB,3,30
BUD,VIE,4,43
MAD,HEL,1,39
GVA,IST,3,50
LGW,ZRH,1,30
CPH,MUC,1,33
FRA,AMS,3,50
AGP,HEL,1,20
CDG,PMI,3,40
MUC,MAN,2,32
FRA,BRU,4,9
AGP,BRU,2,51
GVA,MUC,3,40
CDG,ZRH,1,0
MAD,FRA,2,32
DUS,MAN,3,51
PMI,GVA,3,34
GVA,AMS,1,59
LHR,DUS,3,30
CPH,GVA,3,21
CPH,VIE,2,47
PRG,IST,2,32
VIE,FRA,3,11
ZRH,LHR,2,2
LIS,MAN,2,50
MAN,PRG,2,27
ATH,DUB,2,36
MAD,WAW,4,28
MXP,CPH,2,11
DUB,IST,3,31
CPH,LGW,4,26
GVA,MUC,4,27
AGP,BCN,4,13
CPH,ATH,3,30
OSL,CPH,2,1
ALC,BUD,2,17
LIS,OSL,3,47
DUB,LGW,2,4
AGP,GVA,3,46
HEL,BCN,3,2
BUD,BCN,3,32
FRA,DUS,4,51
OSL,AGP,3,42
CPH,FRA,2,57
CDG,VIE,3,57
PMI,ARN,2,53
MUC,PMI,4,3
HEL,PMI,4,20
BRU,CDG,4,5
MAD,WAW,1,17
VIE,ALC,1,56
BUD,DUS,2,43
DUS,MAN,1,57
MXP,DUB,1,56
MUC,BUD,2,50
MAD,GVA,2,37
AMS,FRA,3,55
LGW,FRA,4,1
LIS,HEL,1,45
LGW,ARN,3,14
HEL,GVA,3,52
WAW,MAD,3,39
FCO,PMI,4,28
AGP,BCN,3,39
FRA,LIS,1,29
HEL,PRG,2,39
ALC,PRG,2,30
ALC,PRG,2,59
BCN,FCO,4,21
VIE,LHR,2,15
CDG,PMI,4,35
CPH,MXP,4,3
LHR,ALC,4,1
IST,AMS,4,0
MUC,DUB,2,41
FRA,HEL,4,55
ALC,CDG,2,1
DUB,MAD,2,19
FRA,BCN,4,2
PMI,LHR,3,56
VIE,MXP,1,20
ZRH,FCO,1,25
IST,BRU,2,28
ALC,DUB,3,27
MAD,LIS,3,26
ATH,IST,2,9
LIS,LGW,4,4
ALC,FCO,4,20
ALC,IST,2,53
GVA,BCN,4,30
BUD,CPH,4,58
BUD,MUC,2,15
CDG,IST,2,29
MXP,LHR,2,12
IST,BCN,2,16
FCO,MAN,4,9
LGW,WAW,2,16
OSL,BRU,3,23
FRA,FCO,4,23
PRG,HEL,1,43
OSL,BCN,1,25
ATH,MXP,1,22
AMS,WAW,1,27
LIS,ZRH,4,30
AGP,DUS,3,4
MXP,MAD,4,12
DUB,ARN,1,42
PMI,MAD,2,45
LHR,CPH,4,58
BUD,DUS,5,8
MAN,LIS,1,14
MAN,CPH,3,8
MAD,PMI,3,47
BCN,GVA,4,57
BUD,BCN,3,10
MAN,OSL,1,15
BRU,OSL,2,23
HEL,PRG,3,40
GVA,HEL,2,3
OSL,ARN,4,9
CDG,LHR,2,15
ARN,CDG,3,44
MUC,CPH,2,41
ARN,VIE,1,33
DUS,MAD,1,7
BRU,MUC,3,3
AGP,BCN,2,10
CDG,LIS,3,20
AGP,MAN,3,37
AMS,VIE,5,5
BUD,WAW,3,14
MUC,MAN,4,1
ARN,ALC,1,44
MXP,ALC,1,7
LGW,HEL,1,59
WAW,ARN,4,15
CPH,ALC,1,25
PRG,CPH,3,46
HEL,DUB,3,37
ALC,DUS,2,0
ATH,WAW,1,0
HEL,ARN,2,49
ZRH,ALC,3,37
GVA,MAN,2,5
LHR,BCN,1,0
CDG,BUD,2,2
MXP,ALC,3,38
BCN,FRA,3,57
HEL,GVA,3,58
WAW,VIE,3,44
LIS,MUC,1,49
FRA,ALC,2,1
WAW,GVA,2,32
BUD,IST,1,23
BCN,DUB,3,50
CDG,WAW,1,48
BCN,AMS,3,48
MXP,DUS,2,20
BUD,CPH,1,0
FCO,CDG,4,38
PMI,CPH,3,30
CDG,LHR,3,3
ALC,BRU,4,11
LGW,BUD,1,50
LHR,OSL,3,8
PRG,FCO,2,8
FRA,HEL,2,38
MAD,GVA,4,30
VIE,DUS,1,0
WAW,DUS,3,34
HEL,BUD,3,45
ARN,LIS,3,26
BRU,FRA,1,30
ALC,MAN,1,39
ALC,BRU,3,35
DUS,MAD,2,54
VIE,ALC,1,56
HEL,PRG,2,53
HEL,FCO,2,29
HEL,ALC,4,8
AMS,BRU,3,25
PRG,MAD,3,28
ATH,MXP,2,52
DUS,MAD,3,28
DUB,AMS,3,20
BUD,ARN,1,11
OSL,MAD,1,0
FCO,HEL,1,52
AGP,PRG,5,6
ARN,MAN,4,43
BCN,LHR,1,58
CPH,LGW,1,57
MAD,PRG,4,13
ARN,CPH,2,50
AGP,GVA,3,7
PMI,BRU,1,19
ALC,VIE,3,14
DUB,BCN,1,43
BCN,ATH,1,28
CPH,LIS,3,5
OSL,BRU,3,38
BCN,ARN,3,6
AMS,BUD,1,38
LIS,LHR,4,20
PRG,VIE,5,7
OSL,MAN,2,4
DUS,ATH,2,19
BRU,CDG,1,49
GVA,ZRH,3,0
FRA,MXP,1,30
HEL,GVA,1,11
MUC,DUS,4,48
ZRH,ARN,4,3
HEL,CPH,2,19
HEL,MAD,4,48
PMI,LGW,2,6
MAD,DUB,2,54
DUS,HEL,1,17
CPH,AMS,4,54
